"SpellID"	"ProcTypeMask1"	"ProcTypeMask2"	"ProcChance"	"CumulativeAura"
"176944"	"2446676"	"0"	"100"	"0"
"176981"	"2446676"	"0"	"100"	"0"
"177047"	"2446676"	"0"	"100"	"0"
"177052"	"2446676"	"0"	"100"	"0"
"177085"	"2446356"	"0"	"100"	"0"
"177163"	"2446676"	"0"	"100"	"0"
"177171"	"2446676"	"0"	"100"	"0"
"177866"	"2446676"	"0"	"50"	"0"
"177923"	"2446676"	"0"	"75"	"0"
"179542"	"2446676"	"0"	"101"	"0"
"183775"	"2446676"	"0"	"100"	"0"
"183927"	"2446676"	"0"	"100"	"0"
"183932"	"2446676"	"0"	"100"	"0"
"186331"	"2446608"	"0"	"101"	"0"
"187668"	"2446676"	"0"	"100"	"0"
"188026"	"2446676"	"0"	"101"	"0"
"190783"	"2446608"	"0"	"20"	"0"
"190786"	"2446608"	"0"	"40"	"0"
"190888"	"2446676"	"0"	"100"	"0"
"190889"	"2446676"	"0"	"100"	"0"
"190890"	"2446676"	"0"	"100"	"0"
"194878"	"2428944"	"4"	"101"	"0"
"194912"	"2446352"	"0"	"100"	"0"
"194916"	"0"	"4"	"101"	"0"
"196705"	"2446336"	"0"	"100"	"0"
"196777"	"2446676"	"0"	"101"	"0"
"197766"	"2446336"	"0"	"101"	"0"
"198158"	"2446336"	"0"	"100"	"0"
"199045"	"0"	"4"	"101"	"0"
"200656"	"2446612"	"0"	"101"	"0"
"201801"	"2446676"	"0"	"50"	"0"
"202874"	"2446336"	"0"	"101"	"0"
"202887"	"2446336"	"0"	"101"	"0"
"202904"	"2446336"	"0"	"101"	"0"
"202916"	"2446336"	"0"	"101"	"0"
"207256"	"0"	"4"	"100"	"0"
"207581"	"2446676"	"0"	"25"	"0"
"207692"	"2446676"	"0"	"100"	"0"
"209256"	"2446672"	"0"	"100"	"0"
"209785"	"0"	"4"	"100"	"1"
"210714"	"0"	"4"	"100"	"2"
"211386"	"2446336"	"0"	"100"	"0"
"214120"	"2446676"	"0"	"101"	"0"
"215941"	"2446336"	"0"	"100"	"0"
"217668"	"2446676"	"0"	"100"	"0"
"218612"	"2446352"	"0"	"100"	"0"
"220556"	"539317588"	"0"	"100"	"0"
"221620"	"2446352"	"0"	"101"	"0"
"221667"	"2446336"	"0"	"101"	"0"
"223819"	"0"	"4"	"100"	"0"
"224148"	"2446676"	"0"	"101"	"0"
"224150"	"2446676"	"0"	"101"	"0"
"224169"	"2446676"	"0"	"101"	"0"
"228398"	"2446676"	"0"	"100"	"0"
"228448"	"2446676"	"0"	"101"	"0"
"232876"	"0"	"4"	"101"	"0"
"235053"	"2446672"	"0"	"100"	"0"
"236199"	"2446352"	"0"	"100"	"0"
"236763"	"539317264"	"0"	"100"	"0"
"239042"	"2446608"	"0"	"100"	"0"
"242057"	"2446608"	"0"	"101"	"0"
"242063"	"2446608"	"0"	"100"	"0"
"242225"	"2446608"	"0"	"101"	"0"
"242237"	"2446608"	"0"	"101"	"0"
"242242"	"2446676"	"0"	"101"	"0"
"242291"	"2446336"	"0"	"25"	"0"
"247677"	"4"	"4"	"100"	"1"
"248081"	"2446608"	"0"	"100"	"0"
"248113"	"2446352"	"0"	"100"	"0"
"249989"	"2446608"	"0"	"101"	"99"
"251671"	"2446608"	"0"	"101"	"0"
"252048"	"2446676"	"0"	"10"	"0"
"252083"	"2446676"	"0"	"5"	"0"
"252207"	"2446676"	"0"	"101"	"0"
"253070"	"2446672"	"0"	"101"	"0"
"253093"	"2446672"	"0"	"101"	"0"
"254544"	"2446676"	"0"	"20"	"0"
"255669"	"2446608"	"0"	"100"	"0"
"256817"	"2446676"	"0"	"101"	"0"
"260285"	"0"	"4"	"100"	"0"
"261767"	"2446676"	"0"	"101"	"0"
"262107"	"2446676"	"0"	"101"	"0"
"264173"	"0"	"4"	"101"	"4"
"264571"	"0"	"4"	"101"	"2"
"265259"	"2446676"	"0"	"100"	"0"
"267218"	"2446676"	"0"	"101"	"1"
"268399"	"2446676"	"0"	"101"	"0"
"268506"	"2446676"	"0"	"101"	"0"
"268507"	"2446676"	"0"	"101"	"0"
"268508"	"2446676"	"0"	"101"	"0"
"268512"	"2446676"	"0"	"101"	"0"
"268515"	"2446676"	"0"	"101"	"0"
"268531"	"2446676"	"0"	"101"	"0"
"268533"	"2446676"	"0"	"101"	"0"
"268535"	"2446676"	"0"	"101"	"0"
"268546"	"2446676"	"0"	"101"	"0"
"268553"	"2446676"	"0"	"101"	"0"
"268557"	"2446676"	"0"	"101"	"0"
"268566"	"2446676"	"0"	"101"	"0"
"268603"	"2446676"	"0"	"101"	"0"
"268605"	"2446676"	"0"	"101"	"0"
"268608"	"2446676"	"0"	"101"	"0"
"268610"	"2446676"	"0"	"101"	"0"
"268617"	"2446676"	"0"	"101"	"0"
"268620"	"2446676"	"0"	"101"	"0"
"268621"	"2446676"	"0"	"101"	"0"
"268624"	"2446676"	"0"	"101"	"0"
"268855"	"2446676"	"0"	"100"	"0"
"268888"	"2446676"	"0"	"100"	"0"
"268900"	"2446676"	"0"	"100"	"0"
"268906"	"2446676"	"0"	"101"	"0"
"268912"	"2446676"	"0"	"100"	"0"
"269718"	"2446676"	"0"	"101"	"0"
"269884"	"2446676"	"0"	"101"	"0"
"269886"	"2446676"	"0"	"101"	"0"
"269888"	"2446676"	"0"	"101"	"0"
"270233"	"0"	"4"	"101"	"0"
"271072"	"2446336"	"0"	"101"	"0"
"272121"	"2446676"	"0"	"101"	"0"
"272801"	"0"	"4"	"101"	"0"
"272904"	"0"	"4"	"101"	"0"
"273320"	"0"	"4"	"100"	"0"
"273327"	"0"	"4"	"100"	"0"
"273412"	"0"	"4"	"100"	"0"
"273432"	"2446676"	"0"	"101"	"10"
"273684"	"0"	"4"	"101"	"0"
"273685"	"0"	"4"	"101"	"0"
"273799"	"2446676"	"0"	"101"	"0"
"273825"	"2446608"	"0"	"101"	"0"
"273830"	"2446608"	"0"	"101"	"0"
"273858"	"2446608"	"0"	"101"	"0"
"273975"	"2446676"	"0"	"101"	"0"
"273987"	"2446676"	"0"	"101"	"0"
"273991"	"2446676"	"0"	"101"	"0"
"274072"	"2446676"	"0"	"101"	"0"
"274345"	"0"	"4"	"101"	"0"
"274356"	"0"	"4"	"101"	"0"
"274368"	"0"	"4"	"101"	"0"
"274391"	"0"	"4"	"101"	"0"
"274429"	"2446676"	"0"	"101"	"0"
"274694"	"0"	"4"	"101"	"0"
"274771"	"0"	"4"	"101"	"0"
"274773"	"2446608"	"0"	"101"	"0"
"274823"	"0"	"4"	"101"	"0"
"275531"	"0"	"4"	"100"	"0"
"275858"	"0"	"4"	"100"	"0"
"276023"	"0"	"4"	"101"	"0"
"277146"	"2446676"	"0"	"101"	"0"
"277182"	"2446676"	"0"	"101"	"0"
"277705"	"0"	"4"	"101"	"0"
"277706"	"0"	"4"	"101"	"0"
"277723"	"0"	"4"	"101"	"0"
"277926"	"2446352"	"0"	"100"	"0"
"278077"	"0"	"4"	"101"	"0"
"278161"	"2446676"	"0"	"101"	"0"
"278356"	"2446336"	"0"	"101"	"0"
"278543"	"2446612"	"0"	"101"	"0"
"278815"	"2446336"	"0"	"101"	"0"
"278831"	"2446336"	"0"	"101"	"0"
"278859"	"2446336"	"0"	"101"	"0"
"279202"	"0"	"4"	"100"	"0"
"279387"	"0"	"4"	"101"	"0"
"279504"	"0"	"4"	"101"	"0"
"279515"	"0"	"4"	"101"	"15"
"279522"	"0"	"4"	"101"	"0"
"279647"	"0"	"4"	"100"	"0"
"279667"	"2446676"	"0"	"100"	"0"
"279879"	"0"	"4"	"100"	"0"
"280143"	"0"	"4"	"101"	"0"
"280161"	"0"	"4"	"100"	"0"
"280168"	"2446608"	"0"	"101"	"0"
"280169"	"0"	"4"	"101"	"0"
"280173"	"0"	"4"	"101"	"0"
"280174"	"2446608"	"0"	"101"	"0"
"280178"	"2446608"	"0"	"101"	"0"
"280182"	"0"	"4"	"101"	"0"
"280189"	"0"	"4"	"100"	"0"
"280199"	"0"	"4"	"100"	"0"
"280203"	"0"	"4"	"101"	"0"
"280211"	"0"	"4"	"101"	"0"
"280408"	"2446608"	"1"	"101"	"0"
"280411"	"2446608"	"0"	"101"	"0"
"280432"	"2446676"	"0"	"101"	"0"
"280433"	"2446676"	"0"	"100"	"0"
"280702"	"2446608"	"0"	"101"	"0"
"280712"	"2446608"	"1"	"101"	"0"
"280752"	"0"	"4"	"101"	"0"
"280778"	"2446672"	"0"	"101"	"0"
"280785"	"2446672"	"0"	"101"	"0"
"280806"	"2446608"	"0"	"101"	"0"
"280837"	"2446672"	"0"	"101"	"0"
"280848"	"2446672"	"0"	"101"	"0"
"280851"	"2446672"	"0"	"101"	"0"
"280856"	"2446608"	"0"	"101"	"0"
"280860"	"2446672"	"0"	"101"	"0"
"280865"	"2446672"	"0"	"101"	"0"
"280872"	"2446608"	"0"	"101"	"0"
"281495"	"2446352"	"0"	"100"	"0"
"281515"	"2446608"	"0"	"101"	"0"
"281797"	"2446608"	"0"	"100"	"0"
"281842"	"2446608"	"0"	"101"	"0"
"285469"	"2446608"	"0"	"101"	"0"
"285471"	"2446676"	"0"	"101"	"0"
"285495"	"2446608"	"0"	"101"	"0"
"285499"	"2446608"	"0"	"101"	"0"
"286586"	"2446608"	"0"	"101"	"0"
"287302"	"0"	"4"	"101"	"0"
"287468"	"2446608"	"0"	"101"	"0"
"287633"	"2446608"	"0"	"101"	"0"
"288425"	"0"	"4"	"101"	"0"
"288757"	"0"	"4"	"101"	"0"
"288795"	"2446336"	"0"	"101"	"0"
"288804"	"0"	"4"	"101"	"0"
"288997"	"2446676"	"0"	"101"	"0"
"289237"	"0"	"4"	"100"	"0"
"290183"	"2446676"	"0"	"100"	"0"
"292361"	"2446672"	"0"	"101"	"0"
"293136"	"2446608"	"0"	"101"	"0"
"295157"	"2446676"	"0"	"101"	"0"
"295365"	"2446608"	"0"	"101"	"0"
"295430"	"2446608"	"0"	"101"	"0"
"296072"	"0"	"4"	"100"	"0"
"296321"	"2446608"	"0"	"101"	"0"
"296326"	"2446608"	"0"	"101"	"0"
"296328"	"2446608"	"0"	"101"	"0"
"296330"	"2446608"	"0"	"101"	"0"
"296963"	"2446676"	"0"	"101"	"0"
"298268"	"2446608"	"0"	"101"	"0"
"299062"	"0"	"4"	"101"	"0"
"299348"	"2446608"	"0"	"101"	"0"
"299350"	"2446608"	"0"	"101"	"0"
"299371"	"2446608"	"0"	"101"	"0"
"299373"	"2446608"	"0"	"101"	"0"
"299388"	"0"	"4"	"100"	"10"
"299389"	"0"	"4"	"100"	"30"
"299464"	"2446676"	"0"	"101"	"0"
"299875"	"0"	"4"	"100"	"0"
"299876"	"0"	"4"	"100"	"0"
"299909"	"0"	"4"	"100"	"0"
"300607"	"12670292"	"4"	"101"	"0"
"300718"	"2446676"	"0"	"101"	"0"
"300786"	"2446676"	"0"	"101"	"0"
"300795"	"2446676"	"0"	"101"	"0"
"301244"	"0"	"4"	"101"	"0"
"301564"	"0"	"4"	"101"	"0"
"302696"	"2446608"	"0"	"101"	"0"
"302986"	"2446676"	"0"	"101"	"0"
"302988"	"-2144337924"	"0"	"100"	"0"
"303133"	"2446608"	"0"	"101"	"0"
"303137"	"2446608"	"0"	"100"	"0"
"303211"	"2446676"	"0"	"101"	"0"
"303580"	"2446676"	"0"	"100"	"0"
"303893"	"2446676"	"0"	"101"	"0"
"303937"	"2446608"	"0"	"101"	"0"
"304409"	"0"	"4"	"101"	"0"
"304501"	"2446608"	"0"	"101"	"0"
"304697"	"2446672"	"0"	"101"	"0"
"304711"	"2446672"	"0"	"101"	"0"
"305148"	"2446676"	"0"	"101"	"0"
"306220"	"0"	"4"	"101"	"0"
"306413"	"0"	"4"	"101"	"0"
"306563"	"2446676"	"0"	"101"	"3"
"306571"	"2446676"	"0"	"101"	"3"
"306573"	"2446676"	"0"	"101"	"3"
"306575"	"2446676"	"0"	"101"	"3"
"306604"	"2446676"	"0"	"101"	"1"
"308582"	"0"	"4"	"100"	"0"
"311210"	"2446608"	"0"	"101"	"0"
"312922"	"2446608"	"0"	"101"	"0"
"313568"	"2446676"	"0"	"100"	"0"
"314240"	"0"	"4"	"101"	"0"
"315169"	"2446608"	"0"	"101"	"0"
"315573"	"0"	"4"	"101"	"99"
"315574"	"2446676"	"0"	"101"	"0"
"315586"	"2446676"	"0"	"100"	"0"
"315736"	"2446676"	"0"	"100"	"0"
"315787"	"2446676"	"0"	"100"	"0"
"315793"	"2446676"	"0"	"100"	"0"
"316698"	"0"	"4"	"101"	"0"
"316717"	"2446336"	"0"	"101"	"0"
"316782"	"0"	"4"	"101"	"8"
"316814"	"2446608"	"0"	"101"	"0"
"317014"	"0"	"4"	"101"	"0"
"317257"	"2446608"	"0"	"101"	"0"
"317860"	"0"	"4"	"101"	"0"
"317993"	"0"	"4"	"100"	"0"
"318046"	"-2144338264"	"0"	"100"	"0"
"318214"	"2446676"	"0"	"101"	"0"
"318218"	"2446676"	"0"	"101"	"0"
"318220"	"2446676"	"0"	"101"	"0"
"319191"	"0"	"4"	"101"	"0"
"319232"	"0"	"4"	"100"	"0"
"319439"	"0"	"4"	"100"	"0"
"319930"	"0"	"4"	"101"	"0"
"319983"	"2446608"	"0"	"100"	"0"
"320222"	"40"	"4"	"100"	"0"
"320246"	"40"	"4"	"100"	"0"
"320247"	"40"	"4"	"100"	"0"
"320250"	"40"	"4"	"100"	"0"
"320260"	"40"	"4"	"100"	"0"
"320284"	"40"	"4"	"100"	"0"
"320340"	"0"	"4"	"101"	"0"
"320385"	"40"	"4"	"100"	"0"
"320388"	"40"	"4"	"100"	"0"
"320604"	"40"	"4"	"100"	"0"
"320622"	"40"	"4"	"100"	"0"
"320625"	"40"	"4"	"100"	"0"
"320626"	"40"	"4"	"100"	"0"
"320629"	"40"	"4"	"100"	"0"
"320868"	"81920"	"4"	"101"	"5"
"320874"	"0"	"4"	"100"	"4"
"320914"	"0"	"4"	"100"	"1"
"321393"	"2446676"	"0"	"101"	"0"
"321896"	"0"	"4"	"101"	"0"
"322049"	"0"	"4"	"100"	"2"
"322302"	"0"	"4"	"100"	"4"
"322721"	"2446676"	"0"	"100"	"0"
"322829"	"0"	"4"	"101"	"5"
"322830"	"0"	"4"	"101"	"1"
"322832"	"0"	"4"	"100"	"4"
"322833"	"0"	"4"	"101"	"1"
"322835"	"0"	"4"	"101"	"1"
"322837"	"0"	"4"	"101"	"1"
"322839"	"0"	"4"	"100"	"1"
"323115"	"0"	"4"	"101"	"1"
"323153"	"0"	"4"	"101"	"1"
"323546"	"0"	"4"	"100"	"99"
"323557"	"0"	"4"	"100"	"0"
"323921"	"0"	"4"	"100"	"0"
"324379"	"0"	"4"	"100"	"0"
"325066"	"2446608"	"0"	"100"	"0"
"325687"	"2446676"	"0"	"101"	"0"
"326572"	"2446676"	"0"	"101"	"0"
"326733"	"0"	"4"	"100"	"0"
"327022"	"2446676"	"0"	"100"	"0"
"327104"	"0"	"4"	"100"	"0"
"327139"	"2446676"	"0"	"100"	"0"
"327273"	"0"	"4"	"100"	"0"
"327276"	"0"	"4"	"100"	"0"
"327365"	"0"	"4"	"100"	"0"
"327489"	"0"	"4"	"101"	"0"
"327495"	"0"	"4"	"101"	"0"
"327510"	"0"	"4"	"100"	"2"
"327856"	"2446608"	"0"	"101"	"0"
"328257"	"0"	"4"	"101"	"0"
"328266"	"0"	"4"	"101"	"0"
"328774"	"0"	"4"	"100"	"0"
"328913"	"0"	"4"	"101"	"0"
"329268"	"0"	"4"	"100"	"2"
"329535"	"4264276"	"4"	"100"	"0"
"329652"	"2446676"	"0"	"50"	"10"
"329791"	"2446676"	"0"	"100"	"0"
"329960"	"2446676"	"0"	"100"	"0"
"330080"	"2446676"	"0"	"101"	"0"
"330733"	"2446676"	"0"	"101"	"0"
"330734"	"2446676"	"0"	"101"	"0"
"330743"	"0"	"4"	"101"	"1"
"330747"	"0"	"4"	"100"	"0"
"330765"	"2446676"	"0"	"101"	"0"
"331650"	"0"	"4"	"100"	"0"
"331663"	"0"	"4"	"100"	"0"
"331667"	"0"	"4"	"100"	"0"
"331830"	"2446672"	"0"	"100"	"0"
"331835"	"0"	"4"	"101"	"5"
"332684"	"0"	"4"	"101"	"0"
"333502"	"0"	"4"	"100"	"3"
"333889"	"0"	"4"	"100"	"0"
"333950"	"0"	"4"	"101"	"0"
"333953"	"0"	"4"	"100"	"0"
"334393"	"2446676"	"0"	"100"	"1"
"334463"	"0"	"4"	"100"	"1"
"334581"	"0"	"4"	"100"	"2"
"335069"	"0"	"4"	"30"	"1"
"335253"	"0"	"4"	"100"	"0"
"335836"	"0"	"4"	"101"	"0"
"336067"	"0"	"4"	"50"	"0"
"336239"	"2446608"	"0"	"101"	"0"
"336269"	"0"	"4"	"100"	"1"
"336586"	"2446676"	"0"	"101"	"0"
"337020"	"2446608"	"0"	"101"	"0"
"337122"	"0"	"4"	"101"	"0"
"337204"	"0"	"4"	"101"	"0"
"337275"	"0"	"4"	"101"	"0"
"337292"	"2446672"	"0"	"100"	"0"
"337293"	"0"	"4"	"101"	"0"
"337532"	"0"	"4"	"101"	"1"
"337534"	"0"	"4"	"100"	"0"
"338140"	"0"	"4"	"100"	"0"
"338799"	"0"	"4"	"100"	"0"
"339399"	"0"	"4"	"101"	"0"
"339570"	"0"	"4"	"100"	"0"
"339700"	"-2144337924"	"0"	"100"	"0"
"339979"	"2446676"	"0"	"101"	"0"
"340091"	"0"	"4"	"100"	"0"
"340092"	"0"	"4"	"100"	"0"
"340147"	"0"	"4"	"101"	"1"
"340540"	"0"	"4"	"100"	"0"
"340603"	"0"	"4"	"100"	"0"
"340609"	"0"	"4"	"100"	"0"
"340613"	"0"	"4"	"100"	"3"
"340688"	"0"	"4"	"100"	"0"
"341724"	"0"	"4"	"101"	"0"
"341741"	"0"	"4"	"100"	"3"
"342156"	"0"	"4"	"101"	"0"
"342937"	"0"	"4"	"100"	"0"
"342997"	"0"	"4"	"100"	"30"
"343255"	"0"	"4"	"100"	"0"
"343290"	"0"	"4"	"100"	"1"
"343647"	"0"	"4"	"100"	"0"
"343820"	"0"	"4"	"100"	"3"
"343821"	"0"	"4"	"100"	"0"
"344013"	"0"	"4"	"101"	"0"
"344035"	"0"	"4"	"100"	"0"
"344117"	"2446676"	"0"	"101"	"0"
"344243"	"0"	"4"	"100"	"0"
"344618"	"0"	"4"	"101"	"0"
"344884"	"0"	"4"	"101"	"0"
"344991"	"2446676"	"0"	"100"	"0"
"345023"	"0"	"4"	"101"	"0"
"345229"	"2446676"	"0"	"101"	"0"
"345422"	"2446676"	"0"	"100"	"0"
"345666"	"2446608"	"0"	"101"	"0"
"345692"	"0"	"4"	"101"	"0"
"345769"	"2446608"	"0"	"101"	"0"
"346712"	"136664404"	"0"	"10"	"0"
"346713"	"136664404"	"0"	"10"	"0"
"346747"	"16384"	"4"	"101"	"0"
"347690"	"2446676"	"0"	"101"	"0"
"347985"	"2446676"	"0"	"100"	"1"
"348483"	"0"	"4"	"100"	"1"
"349916"	"0"	"4"	"100"	"3"
"350068"	"0"	"4"	"100"	"10"
"350936"	"2446676"	"0"	"100"	"0"
"351089"	"0"	"4"	"101"	"0"
"351094"	"0"	"4"	"101"	"0"
"351986"	"2446676"	"0"	"101"	"0"
"352081"	"2446676"	"0"	"101"	"0"
"352138"	"0"	"4"	"101"	"1"
"352186"	"2446676"	"0"	"100"	"0"
"352188"	"0"	"4"	"100"	"0"
"352501"	"2446676"	"0"	"101"	"0"
"352786"	"2446676"	"0"	"101"	"0"
"352806"	"2446676"	"0"	"101"	"0"
"353743"	"2446676"	"0"	"100"	"1"
"355023"	"2446336"	"0"	"101"	"0"
"355098"	"2446336"	"0"	"101"	"0"
"355724"	"2446676"	"0"	"100"	"0"
"355748"	"2446676"	"0"	"101"	"0"
"355829"	"2446608"	"0"	"100"	"0"
"356389"	"2446676"	"0"	"10"	"0"
"356390"	"0"	"4"	"101"	"0"
"356517"	"0"	"4"	"101"	"0"
"356592"	"2446608"	"0"	"101"	"0"
"356676"	"16"	"4"	"30"	"0"
"357036"	"2446676"	"0"	"101"	"0"
"357054"	"2446676"	"0"	"101"	"0"
"357064"	"2446676"	"0"	"101"	"0"
"357075"	"2446676"	"0"	"101"	"0"
"357564"	"0"	"4"	"101"	"0"
"357633"	"0"	"4"	"100"	"0"
"357672"	"2446608"	"0"	"101"	"0"
"359330"	"0"	"4"	"101"	"0"
"359387"	"2446676"	"0"	"100"	"0"
"359396"	"2446608"	"0"	"100"	"0"
"359423"	"2446676"	"0"	"100"	"0"
"359424"	"2446676"	"0"	"100"	"0"
"359425"	"2446676"	"0"	"100"	"0"
"359435"	"2446608"	"0"	"100"	"0"
"359436"	"2446608"	"0"	"100"	"0"
"359437"	"2446608"	"0"	"100"	"0"
"360073"	"2446608"	"0"	"101"	"0"
"361570"	"0"	"4"	"9"	"1"
"362754"	"0"	"4"	"101"	"0"
"363494"	"0"	"4"	"100"	"0"
"363496"	"0"	"4"	"101"	"0"
"363497"	"0"	"4"	"101"	"0"
"363498"	"0"	"4"	"101"	"0"
"363727"	"0"	"4"	"101"	"0"
"363760"	"0"	"4"	"101"	"0"
"363950"	"0"	"4"	"101"	"0"
"363951"	"0"	"4"	"101"	"0"
"364304"	"0"	"4"	"101"	"0"
"364306"	"16384"	"4"	"101"	"4"
"364362"	"0"	"4"	"101"	"0"
"364383"	"0"	"4"	"101"	"0"
"364423"	"0"	"4"	"101"	"0"
"364424"	"0"	"4"	"101"	"0"
"364427"	"0"	"4"	"101"	"0"
"364436"	"0"	"4"	"101"	"0"
"365097"	"0"	"4"	"101"	"0"
"365117"	"2446608"	"0"	"101"	"5"
"365456"	"2446608"	"0"	"101"	"0"
"365473"	"0"	"4"	"0"	"0"
"365551"	"0"	"4"	"10"	"1"
"366779"	"0"	"4"	"101"	"50"
"366780"	"0"	"4"	"101"	"0"
"367269"	"0"	"4"	"10"	"1"
"367325"	"2446336"	"0"	"101"	"0"
"367733"	"2446336"	"0"	"101"	"0"
"367950"	"2446592"	"0"	"101"	"0"
"368240"	"2446676"	"0"	"100"	"0"
"368638"	"0"	"4"	"100"	"0"
"368969"	"81920"	"4"	"101"	"1"
"370968"	"2446676"	"0"	"100"	"0"
"371890"	"0"	"4"	"101"	"0"
"371891"	"0"	"4"	"101"	"0"
"372015"	"0"	"4"	"100"	"3"
"372152"	"0"	"4"	"101"	"4"
"372309"	"0"	"4"	"101"	"0"
"372313"	"0"	"4"	"101"	"0"
"372358"	"0"	"4"	"101"	"0"
"372417"	"0"	"4"	"100"	"0"
"372526"	"0"	"4"	"100"	"0"
"372616"	"0"	"4"	"101"	"0"
"372617"	"0"	"4"	"101"	"2"
"372760"	"0"	"4"	"101"	"0"
"373038"	"0"	"4"	"101"	"0"
"373226"	"0"	"4"	"101"	"0"
"373280"	"327680"	"4"	"100"	"0"
"373384"	"2446336"	"0"	"101"	"0"
"373713"	"0"	"4"	"100"	"100"
"375226"	"0"	"4"	"100"	"0"
"375229"	"0"	"4"	"100"	"0"
"375230"	"0"	"4"	"100"	"0"
