"Name","Count","Uptime","Source",""
"Искра жизни","184","973778$56.24%","Passive Ability",""

"Избыточная энергия","648","962899$55.61%","Passive Ability",""

"Сопутствующий ущерб","596","890532$51.43%","Passive Ability",""

"Расторопность клыка души","99","845293$48.82%","Passive Ability",""

"Призматическая стрела!","150","820813$47.41%","Passive Ability",""

"Великий воин Света","286","711116$41.07%","Passive Ability",""

"Ядоклятый критический удар","67","690875$39.90%","Passive Ability",""

"Мутирующий эликсир","7","675336$39.00%","Stance/Form/Seal",""

"Оппортунизм","253","668762$38.63%","Passive Ability",""

"Искусная охота","59","630098$36.39%","Profession",""

"Обряд Акил'зон","51","582077$33.62%","Enchant",""

"Власть Аргуса","140","575107$33.22%","Passive Ability",""

"Военная машина","161","571509$33.01%","Passive Ability",""

"Ритуал скорости","44","564736$32.62%","Enchant",""

"Ритуал критического удара","42","559053$32.29%","Enchant",""

"Ритуал универсальности","37","510525$29.49%","Enchant",""

"Сосредоточенная охота","47","497803$28.75%","Profession",""

"Внезапная смерть","317","496420$28.67%","Passive Ability",""

"20-килограммовый полуночный лосось","44","493339$28.49%","Trinket (Passive)",""

"Удар колосса","362","490331$28.32%","Active Ability",""

"Гниющая бездноперка","46","489290$28.26%","Trinket (Passive)",""

"Дьявольский ритуал: владыка","45","487624$28.16%","Passive Ability",""

"Склизкий камень Грала","43","480098$27.73%","Trinket (Passive)",""

"Потрепанный тортолланский свиток","45","475575$27.47%","Trinket (Passive)",""

"Мастер военного дела","171","474122$27.38%","Active Ability",""

"Решительно рассекающая ракушка","44","468518$27.06%","Trinket (Passive)",""

"Молот гнева","23","467196$26.98%","Passive Ability",""

"Часовой","23","467196$26.98%","Active Ability",""

"Призыв демонического тирана","23","460133$26.58%","Active Ability",""

"Власть великой пустоты","23","460075$26.57%","Passive Ability",""

"Подношение тирана","23","460074$26.57%","Passive Ability",""

"Аватара","23","460045$26.57%","Tier Bonus (4pc)",""

"Ожесточенная эйфория","56","448569$25.91%","Passive Ability",""

"Дьявольский ритуал: мать Хаоса","43","446023$25.76%","Passive Ability",""

"Ритуал искусности","36","434000$25.07%","Enchant",""

"Дьявольский ритуал: властитель преисподней","43","425958$24.60%","Passive Ability",""

"Единство с энтропией","43","424834$24.54%","Passive Ability",""

"Обряд Налоракка","35","423812$24.48%","Enchant",""

"Авангард","77","398888$23.04%","Passive Ability",""

"Тактик","253","393590$22.73%","Passive Ability",""

"Сверхзаряженные снаряды","120","360196$20.80%","Passive Ability",""

"Прыгучее пламя","91","341672$19.73%","Passive Ability",""

"Потенциал Света","17","338983$19.58%","Profession",""

"Оплот праведной ярости","1,155","304927$17.61%","Passive Ability",""

"Властелин бесов","14","280199$16.18%","Active Ability",""

"Чародейский выброс","16","275941$15.94%","Active Ability",""

"Интуиция","186","253868$14.66%","Passive Ability",""

"Вихрь клинков","56","249754$14.42%","Active Ability",""

"Фляга грузоперевозчика","16","240096$13.87%","Trinket (Active)",""

"Божественный замысел","97","214786$12.41%","Passive Ability",""

"Демоническое искусство: властитель преисподней","43","205457$11.87%","Passive Ability",""

"Демоническое искусство: владыка","44","192321$11.11%","Неизвестный элемент",""

"Руна длительного действия","27","187677$10.84%","Passive Ability",""

"Высшее мастерство: бастион","16","187060$10.80%","Active Ability",""

"Усиливающий яд","11","165084$9.53%","Trinket (Active)",""

"Блаженный блеск","30","150028$8.67%","Consumable",""

"Жидкое блаженство","5","150028$8.67%","Consumable",""

"Доблесть","211","143742$8.30%","Passive Ability",""

"Демоническое искусство: мать Хаоса","43","131017$7.57%","Passive Ability",""

"Адская стрела","43","126084$7.28%","Passive Ability",""

"Искажение времени","3","120010$6.93%","Active Ability",""

"Зелье безрассудства","4","116463$6.73%","Consumable",""

"Огненное дыхание","81","100669$5.81%","Active Ability",""

"Гибель миров","42","72545$4.19%","Passive Ability",""

"Чародейская душа","16","64105$3.70%","Passive Ability",""

"Малое оружие","4","31430$1.82%","Active Ability",""

"Ободряющий клич","2","31195$1.80%","Active Ability",""

"Ярость берсерка","1","6006$0.00%","Active Ability",""

"Смещение равновесия","13","3682$0.00%","Active Ability",""

"Глубокий вдох","2","3573$0.00%","Active Ability",""
